Date,Open,High,Low,Close,Adj Close,Volume
2022-06-10,23.299999,24.100000,22.980000,23.330000,23.330000,7313000
2022-06-13,24.629999,26.290001,24.520000,25.840000,25.840000,7424800
2022-06-14,25.580000,26.059999,25.020000,25.330000,25.330000,3311500
2022-06-15,24.799999,25.049999,23.160999,23.969999,23.969999,5662000
2022-06-16,24.959999,26.090000,24.790001,25.400000,25.400000,4775100
2022-06-17,25.150000,25.590000,24.410000,24.660000,24.660000,3148500
2022-06-21,23.850000,24.500000,23.629999,24.500000,24.500000,3305100
2022-06-22,24.850000,24.909000,23.530001,23.840000,23.840000,3387200
2022-06-23,23.420000,23.940001,22.879999,23.400000,23.400000,7693000
2022-06-24,23.090000,23.250000,22.799999,23.120001,23.120001,8127700
2022-06-27,22.889999,23.170000,22.500000,22.600000,22.600000,2364900
